%Mean HIS spectrum for Band 1 and standard deviation. 
%   24 individual spectra used in the average.
%
%     wavenumber       radiance          1 standard deviation
% data obtained from http://deluge.ssec.wisc.edu/~his/his/his.html
     719.088137        0.047815        0.000357 
     719.363650        0.040426        0.000325 
     719.639163        0.037251        0.000440 
     719.914676        0.035892        0.000404 
     720.190188        0.036491        0.000369 
     720.465701        0.038016        0.000505 
     720.741214        0.036947        0.000452 
     721.016726        0.046882        0.000334 
     721.292239        0.057423        0.000208 
     721.567752        0.067887        0.000311 
     721.843264        0.095756        0.000341 
     722.118777        0.086317        0.000421 
     722.394290        0.067732        0.000365 
     722.669803        0.097782        0.000447 
     722.945315        0.100713        0.000398 
     723.220828        0.095497        0.000396 
     723.496341        0.105207        0.000443 
     723.771853        0.067246        0.000233 
     724.047366        0.063313        0.000290 
     724.322879        0.107641        0.000403 
     724.598391        0.101501        0.000471 
     724.873904        0.101251        0.000417 
     725.149417        0.094783        0.000422 
     725.424930        0.048986        0.000281 
     725.700442        0.075040        0.000210 
     725.975955        0.110091        0.000464 
     726.251468        0.097780        0.000420 
     726.526980        0.103142        0.000438 
     726.802493        0.072525        0.000353 
     727.078006        0.045285        0.000324 
     727.353518        0.088555        0.000452 
     727.629031        0.104569        0.000402 
     727.904544        0.099523        0.000429 
     728.180057        0.095992        0.000405 
     728.455569        0.050500        0.000345 
     728.731082        0.057223        0.000376 
     729.006595        0.091060        0.000397 
     729.282107        0.081883        0.000307 
     729.557620        0.096178        0.000373 
     729.833133        0.078135        0.000366 
     730.108645        0.041122        0.000335 
     730.384158        0.075208        0.000361 
     730.659671        0.089701        0.000375 
     730.935184        0.082901        0.000409 
     731.210696        0.095002        0.000446 
     731.486209        0.057616        0.000427 
     731.761722        0.049604        0.000344 
     732.037234        0.090410        0.000496 
     732.312747        0.092624        0.000508 
     732.588260        0.103366        0.000415 
     732.863772        0.087034        0.000415 
     733.139285        0.042025        0.000350 
     733.414798        0.070775        0.000322 
     733.690311        0.095091        0.000501 
     733.965823        0.094129        0.000519 
     734.241336        0.105897        0.000307 
     734.516849        0.063711        0.000337 
     734.792361        0.047529        0.000240 
     735.067874        0.089717        0.000510 
     735.343387        0.094101        0.000384 
     735.618899        0.100656        0.000424 
     735.894412        0.094595        0.000631 
     736.169925        0.046576        0.000466 
     736.445438        0.066154        0.000398 
     736.720950        0.099535        0.000519 
     736.996463        0.091416        0.000398 
     737.271976        0.106357        0.000491 
     737.547488        0.071369        0.000411 
     737.823001        0.045912        0.000286 
     738.098514        0.089748        0.000327 
     738.374026        0.096257        0.000410 
     738.649539        0.099476        0.000458 
     738.925052        0.096615        0.000399 
     739.200565        0.052720        0.000502 
     739.476077        0.062872        0.000393 
     739.751590        0.099879        0.000383 
     740.027103        0.093232        0.000449 
     740.302615        0.093364        0.000334 
     740.578128        0.067733        0.000353 
     740.853641        0.044416        0.000328 
     741.129153        0.074592        0.000320 
     741.404666        0.053742        0.000478 
