24Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.4512    1.2009-11.9742    4.7722     4.8356    -1.3121     0.0083     0.0029
 0.4994    1.2171-11.9742    9.1546     8.9393     2.4083     0.0088     0.0014
 0.5204    1.3109-11.9742   10.5311    10.4401     0.8718     0.0103     0.0009
 0.6058    1.2160-11.9742    6.2908     6.2606     0.4820     0.0068     0.0010
 0.6751    1.2137- 8.4344    6.9994     7.0055    -0.0876     0.0046     0.0010
 0.7791    1.2009-11.9742    6.2879     6.2604     0.4389     0.0056     0.0011
 0.8645    1.2001- 6.0914    7.5608     7.6417    -1.0591     0.0022     0.0011
 1.0191    1.2009- 9.5739    7.8980     7.8985    -0.0067     0.0036     0.0008
 1.2413    1.2001- 8.0941    8.3094     8.4481    -1.6414     0.0046     0.0011
 1.5585    1.2001-11.1829    8.6213     8.7061    -0.9742     0.0024     0.0014
 2.1391    1.2001-11.9376    6.3664     6.4441    -1.2065     0.0054     0.0014


30Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.5003-10.7487   11.0428    10.9392     0.9469     0.0148     0.0007
 0.3800    1.5003- 7.9922    9.5940     9.5113     0.8692     0.0140     0.0010
 0.4512    1.5003- 7.7956    4.7783     4.8356    -1.1842     0.0081     0.0011
 0.4994    1.5003-11.9742    9.1650     8.9393     2.5245     0.0090     0.0005
 0.5204    1.5003-11.9742   10.5369    10.4401     0.9274     0.0104     0.0007
 0.6058    1.5003-10.6598    6.2947     6.2606     0.5455     0.0068     0.0004
 0.6751    1.5003- 7.9587    7.0075     7.0055     0.0281     0.0048     0.0005
 0.7791    1.5003-11.9742    6.2949     6.2604     0.5517     0.0058     0.0006
 0.8645    1.5003- 6.5108    7.5747     7.6417    -0.8764     0.0027     0.0007
 1.0191    1.5003- 8.4344    7.9034     7.8985     0.0621     0.0037     0.0004
 1.2413    1.5003- 7.9587    8.3211     8.4481    -1.5036     0.0050     0.0006
 1.5585    1.5003-11.6174    8.6352     8.7061    -0.8149     0.0027     0.0011
 2.1391    1.5003-11.9742    6.3766     6.4441    -1.0479     0.0056     0.0010


30Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.8005-10.3736   11.0504    10.9392     1.0167     0.0149     0.0006
 0.3800    1.8005- 7.9922    9.6057     9.5113     0.9927     0.0143     0.0008
 0.4512    1.8005-11.9742    4.7945     4.8356    -0.8500     0.0091     0.0014
 0.4994    1.8005-11.9742    9.1689     8.9393     2.5681     0.0091     0.0005
 0.5204    1.8005-11.9742   10.5423    10.4401     0.9790     0.0105     0.0006
 0.6058    1.8005-11.9742    6.2985     6.2606     0.6061     0.0070     0.0004
 0.6751    1.8005- 8.1810    7.0115     7.0055     0.0859     0.0050     0.0004
 0.7791    1.8005-11.9742    6.2985     6.2604     0.6090     0.0059     0.0005
 0.8645    1.8005- 8.1986    7.5907     7.6417    -0.6675     0.0034     0.0007
 1.0191    1.8005- 8.9272    7.9057     7.8985     0.0908     0.0038     0.0004
 1.2413    1.8005- 8.1986    8.3282     8.4481    -1.4189     0.0052     0.0005
 1.5585    1.8005-11.6174    8.6441     8.7061    -0.7117     0.0028     0.0008
 2.1391    1.8005-11.9742    6.3826     6.4441    -0.9551     0.0058     0.0007

30Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    2.0005-10.3736   11.0527    10.9392     1.0373     0.0149     0.0006
 0.3800    2.0005-11.9742    9.6205     9.5113     1.1485     0.0147     0.0009
 0.4512    2.0005-11.9742    4.7982     4.8356    -0.7731     0.0092     0.0013
 0.4994    2.0005-11.9742    9.1707     8.9393     2.5889     0.0091     0.0005
 0.5204    2.0005-11.9742   10.5449    10.4401     1.0042     0.0106     0.0006
